              Procedure           Image            Address        Calls Instructions
       PyTuple_Pack@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66d70           24           24
   PyObject_GetAttr@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66d20            6            6
   PyModule_GetDict@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66ce0            4            4
        PySlice_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66cd0            3            3
      PyCapsule_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66ca0            6            6
     PyDict_SetItem@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66c70           16           16
     PyInt_FromLong@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66c60            6            6
         PyDict_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66be0            4            4
PyThread_allocate_lock@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66b90            8            8
PyObject_CallFunctionObjArgs@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66b30            3            3
    PyType_Modified@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66af0            3            3
        PyTuple_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66ac0            2            2
PyString_FromString@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66ab0           12           12
     PyDict_GetItem@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66a70            2            2
       PyType_Ready@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66a20            4            4
      PyOS_snprintf@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b669e0            2            2
PyString_InternFromString@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66980           75           75
         PyCode_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b668e0            1            1
PyObject_SetAttrString@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66880            1            1
 PyImport_AddModule@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66870            1            1
  Py_InitModule4_64@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66850            1            1
  PyCFunction_NewEx@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66830            1            1
PyString_FromStringAndSize@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66790           24           24
         PyList_New@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66780            3            3
PyUnicodeUCS4_DecodeUTF8@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66770           10           10
                  _init _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66730            1            6
         init_traversal _traversal.x86_64-linux-gnu.so       7fca580adbf0            1         1606
                  .text _traversal.x86_64-linux-gnu.so       7fca580960f0            0          903
    PyImport_Import@plt _traversal.x86_64-linux-gnu.so       7fca580960d0            6            6
PyUnicodeUCS4_FromStringAndSize@plt _traversal.x86_64-linux-gnu.so       7fca580960b0            1            1
      Py_GetVersion@plt _traversal.x86_64-linux-gnu.so       7fca58096090            1            1
       PyTuple_Pack@plt _traversal.x86_64-linux-gnu.so       7fca58096080           24           24
   PyObject_GetAttr@plt _traversal.x86_64-linux-gnu.so       7fca58096040            6            6
   PyModule_GetDict@plt _traversal.x86_64-linux-gnu.so       7fca58096020            5            5
     PyDict_SetItem@plt _traversal.x86_64-linux-gnu.so       7fca58095fd0           15           15
     PyInt_FromLong@plt _traversal.x86_64-linux-gnu.so       7fca58095fc0            6            6
         PyDict_New@plt _traversal.x86_64-linux-gnu.so       7fca58095f40            5            5
PyObject_CallFunctionObjArgs@plt _traversal.x86_64-linux-gnu.so       7fca58095ef0            4            4
        PyTuple_New@plt _traversal.x86_64-linux-gnu.so       7fca58095eb0            1            1
PyString_FromString@plt _traversal.x86_64-linux-gnu.so       7fca58095ea0           12           12
     PyDict_GetItem@plt _traversal.x86_64-linux-gnu.so       7fca58095e70            2            2
      PyOS_snprintf@plt _traversal.x86_64-linux-gnu.so       7fca58095e40            2            2
PyString_InternFromString@plt _traversal.x86_64-linux-gnu.so       7fca58095e00           50           50
         PyCode_New@plt _traversal.x86_64-linux-gnu.so       7fca58095d90            3            3
PyObject_SetAttrString@plt _traversal.x86_64-linux-gnu.so       7fca58095d50            1            1
 PyImport_AddModule@plt _traversal.x86_64-linux-gnu.so       7fca58095d40            1            1
